Metadata_Plate	Metadata_Well	Metadata_Site	cell_count	Metadata_plate_map_name	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment
217762	C04	5	597	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	6	590	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	7	872	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	8	628	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	9	704	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	10	833	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	11	940	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	12	702	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	13	714	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	14	721	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	15	871	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	16	533	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C04	17	663	217762	BZ001	217762	20191120-20191115-LoDensity	DMSO
217762	C05	1	1057	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	2	992	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	3	1305	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	4	877	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	5	673	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	6	915	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	7	911	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	8	767	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	9	666	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	10	899	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	11	732	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	12	608	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	13	552	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	14	706	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	15	773	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	16	390	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C05	17	722	217762	WT011	217762	20191120-20191115-LoDensity	DMSO
217762	C06	1	1426	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	2	1149	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	3	1269	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	4	1087	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	5	1282	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	6	1293	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	7	959	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	8	1153	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	9	1506	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	10	1085	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	11	1057	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	12	1244	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	13	1374	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	14	1027	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	15	1169	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	16	1207	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C06	17	1104	217762	BZ018	217762	20191120-20191115-LoDensity	DMSO
217762	C07	1	1301	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	2	716	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	3	983	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	4	899	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	5	780	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	6	889	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	7	773	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	8	692	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	9	618	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	10	830	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	11	981	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	12	821	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	13	653	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	14	661	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	15	641	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	16	700	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C07	17	792	217762	WT009	217762	20191120-20191115-LoDensity	DMSO
217762	C08	1	1973	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	2	1585	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	3	1736	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	4	1341	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	5	1068	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	6	1277	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	7	1552	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	8	1608	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
217762	C08	9	952	217762	WT008	217762	20191120-20191115-LoDensity	DMSO
