column_match_pair_a,Metadata_CellLine_pair_a,Metadata_Dosage_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_CellLine_pair_b,Metadata_Dosage_pair_b
32,CloneA,70.0,12,-0.23982842269640683,12,CloneA,0.7
33,CloneE,70.0,12,-0.2169415465207028,12,CloneA,0.7
34,CloneE,70.0,12,-0.27698986675092324,12,CloneA,0.7
35,CloneE,70.0,12,-0.35792940421828756,12,CloneA,0.7
14,CloneA,0.7,13,0.3463584975393893,13,CloneA,0.7
15,CloneE,0.7,13,0.1940409612826616,13,CloneA,0.7
16,CloneE,0.7,13,0.2384704274581188,13,CloneA,0.7
17,CloneE,0.7,13,0.34329459630075865,13,CloneA,0.7
18,WT,7.0,13,-0.15096219174612613,13,CloneA,0.7
19,WT,7.0,13,-0.3414687857698344,13,CloneA,0.7
20,WT,7.0,13,-0.45669179382055725,13,CloneA,0.7
21,CloneA,7.0,13,-0.23045367538171763,13,CloneA,0.7
22,CloneA,7.0,13,0.11009247974242213,13,CloneA,0.7
23,CloneA,7.0,13,-0.3769373210572645,13,CloneA,0.7
24,CloneE,7.0,13,-0.46442333491435217,13,CloneA,0.7
25,CloneE,7.0,13,0.07737771582073369,13,CloneA,0.7
26,CloneE,7.0,13,-0.26241135807272686,13,CloneA,0.7
27,WT,70.0,13,-0.26993825449391134,13,CloneA,0.7
28,WT,70.0,13,-0.26809769841342046,13,CloneA,0.7
29,WT,70.0,13,-0.5217568203160984,13,CloneA,0.7
30,CloneA,70.0,13,-0.31335590217659764,13,CloneA,0.7
31,CloneA,70.0,13,-0.04351928676772005,13,CloneA,0.7
32,CloneA,70.0,13,-0.12628307321384463,13,CloneA,0.7
33,CloneE,70.0,13,-0.1680363704046962,13,CloneA,0.7
34,CloneE,70.0,13,-0.2607109286104275,13,CloneA,0.7
35,CloneE,70.0,13,-0.35203478746944383,13,CloneA,0.7
15,CloneE,0.7,14,0.4467655122483488,14,CloneA,0.7
16,CloneE,0.7,14,-0.09365957334503441,14,CloneA,0.7
17,CloneE,0.7,14,-0.19760823617414944,14,CloneA,0.7
18,WT,7.0,14,-0.44762748970864574,14,CloneA,0.7
19,WT,7.0,14,-0.4416600951715523,14,CloneA,0.7
20,WT,7.0,14,-0.22987981091399043,14,CloneA,0.7
21,CloneA,7.0,14,0.06179031001538971,14,CloneA,0.7
22,CloneA,7.0,14,-0.10275394770979049,14,CloneA,0.7
23,CloneA,7.0,14,-0.05559917330666724,14,CloneA,0.7
24,CloneE,7.0,14,-0.14402279769853807,14,CloneA,0.7
25,CloneE,7.0,14,-0.46220195435094713,14,CloneA,0.7
26,CloneE,7.0,14,-0.4570320999817049,14,CloneA,0.7
27,WT,70.0,14,-0.2845189111426121,14,CloneA,0.7
28,WT,70.0,14,-0.30918599687159765,14,CloneA,0.7
29,WT,70.0,14,-0.3905389917741274,14,CloneA,0.7
30,CloneA,70.0,14,-0.06322502386950382,14,CloneA,0.7
31,CloneA,70.0,14,-0.38508698578458617,14,CloneA,0.7
32,CloneA,70.0,14,-0.3577173002166616,14,CloneA,0.7
33,CloneE,70.0,14,-0.3960870144934855,14,CloneA,0.7
34,CloneE,70.0,14,-0.28438260973216656,14,CloneA,0.7
35,CloneE,70.0,14,-0.47087977217654564,14,CloneA,0.7
16,CloneE,0.7,15,0.3159060693449779,15,CloneE,0.7
17,CloneE,0.7,15,0.2506112523778261,15,CloneE,0.7
18,WT,7.0,15,-0.40655931082844177,15,CloneE,0.7
