features	dataset
Cells_Intensity_IntegratedIntensity_RNA	bortezomib
Cells_Intensity_LowerQuartileIntensity_Mito	bortezomib
Cells_Intensity_MADIntensity_DNA	bortezomib
Cells_Intensity_MassDisplacement_AGP	bortezomib
Cells_Intensity_MassDisplacement_DNA	bortezomib
Cells_Intensity_MassDisplacement_Mito	bortezomib
Cells_Intensity_MassDisplacement_RNA	bortezomib
Cells_Intensity_MaxIntensityEdge_AGP	bortezomib
Cells_Intensity_MeanIntensityEdge_AGP	bortezomib
Cells_Intensity_MeanIntensityEdge_Mito	bortezomib
Cells_Intensity_MeanIntensityEdge_RNA	bortezomib
Cells_Intensity_MedianIntensity_DNA	bortezomib
Cells_Intensity_MedianIntensity_ER	bortezomib
Cells_Intensity_MedianIntensity_Mito	bortezomib
Cells_Intensity_StdIntensityEdge_ER	bortezomib
Cells_Neighbors_AngleBetweenNeighbors_10	bortezomib
Cells_Neighbors_FirstClosestDistance_10	bortezomib
Cells_Neighbors_NumberOfNeighbors_10	bortezomib
Cells_Neighbors_PercentTouching_10	bortezomib
Cells_RadialDistribution_FracAtD_DNA_1of4	bortezomib
Cells_RadialDistribution_FracAtD_DNA_3of4	bortezomib
Cells_RadialDistribution_FracAtD_ER_1of4	bortezomib
Cells_RadialDistribution_MeanFrac_DNA_2of4	bortezomib
Cells_RadialDistribution_MeanFrac_DNA_3of4	bortezomib
Cells_RadialDistribution_MeanFrac_DNA_4of4	bortezomib
Cells_RadialDistribution_MeanFrac_ER_1of4	bortezomib
Cells_RadialDistribution_MeanFrac_ER_4of4	bortezomib
Cells_RadialDistribution_MeanFrac_Mito_1of4	bortezomib
Cells_RadialDistribution_MeanFrac_Mito_3of4	bortezomib
Cells_RadialDistribution_RadialCV_AGP_1of4	bortezomib
Cells_RadialDistribution_RadialCV_AGP_2of4	bortezomib
Cells_RadialDistribution_RadialCV_AGP_3of4	bortezomib
Cells_RadialDistribution_RadialCV_DNA_1of4	bortezomib
Cells_RadialDistribution_RadialCV_DNA_2of4	bortezomib
Cells_RadialDistribution_RadialCV_DNA_3of4	bortezomib
Cells_RadialDistribution_RadialCV_DNA_4of4	bortezomib
Cells_RadialDistribution_RadialCV_ER_1of4	bortezomib
Cells_RadialDistribution_RadialCV_ER_2of4	bortezomib
Cells_RadialDistribution_RadialCV_ER_3of4	bortezomib
Cells_RadialDistribution_RadialCV_ER_4of4	bortezomib
Cells_RadialDistribution_RadialCV_Mito_1of4	bortezomib
Cells_RadialDistribution_RadialCV_Mito_2of4	bortezomib
Cells_RadialDistribution_RadialCV_Mito_3of4	bortezomib
Cells_RadialDistribution_RadialCV_RNA_1of4	bortezomib
Cells_RadialDistribution_RadialCV_RNA_2of4	bortezomib
Cells_RadialDistribution_RadialCV_RNA_3of4	bortezomib
Cells_Texture_AngularSecondMoment_DNA_5_00	bortezomib
Cells_Texture_AngularSecondMoment_ER_20_03	bortezomib
Cells_Texture_Correlation_AGP_10_00	bortezomib
Cells_Texture_Correlation_AGP_10_01	bortezomib
Cells_Texture_Correlation_AGP_10_02	bortezomib
Cells_Texture_Correlation_AGP_10_03	bortezomib
Cells_Texture_Correlation_AGP_20_00	bortezomib
Cells_Texture_Correlation_AGP_20_01	bortezomib
Cells_Texture_Correlation_AGP_20_02	bortezomib
Cells_Texture_Correlation_AGP_20_03	bortezomib
Cells_Texture_Correlation_AGP_5_00	bortezomib
Cells_Texture_Correlation_AGP_5_01	bortezomib
Cells_Texture_Correlation_AGP_5_02	bortezomib
Cells_Texture_Correlation_AGP_5_03	bortezomib
Cells_Texture_Correlation_DNA_5_00	bortezomib
Cells_Texture_Correlation_ER_10_00	bortezomib
Cells_Texture_Correlation_ER_10_01	bortezomib
Cells_Texture_Correlation_ER_10_02	bortezomib
Cells_Texture_Correlation_ER_10_03	bortezomib
Cells_Texture_Correlation_ER_20_02	bortezomib
Cells_Texture_Correlation_ER_5_00	bortezomib
Cells_Texture_Correlation_ER_5_01	bortezomib
Cells_Texture_Correlation_ER_5_02	bortezomib
Cells_Texture_Correlation_ER_5_03	bortezomib
Cells_Texture_Correlation_Mito_10_00	bortezomib
Cells_Texture_Correlation_Mito_10_01	bortezomib
Cells_Texture_Correlation_Mito_10_02	bortezomib
Cells_Texture_Correlation_Mito_10_03	bortezomib
Cells_Texture_Correlation_Mito_20_00	bortezomib
Cells_Texture_Correlation_Mito_20_01	bortezomib
Cells_Texture_Correlation_Mito_20_02	bortezomib
Cells_Texture_Correlation_Mito_20_03	bortezomib
Cells_Texture_Correlation_Mito_5_00	bortezomib
Cells_Texture_Correlation_Mito_5_01	bortezomib
Cells_Texture_Correlation_Mito_5_03	bortezomib
Cells_Texture_Correlation_RNA_10_00	bortezomib
Cells_Texture_Correlation_RNA_10_01	bortezomib
Cells_Texture_Correlation_RNA_10_02	bortezomib
Cells_Texture_Correlation_RNA_10_03	bortezomib
Cells_Texture_Correlation_RNA_5_00	bortezomib
Cells_Texture_Correlation_RNA_5_01	bortezomib
Cells_Texture_Correlation_RNA_5_02	bortezomib
Cells_Texture_Correlation_RNA_5_03	bortezomib
Cells_Texture_Entropy_DNA_20_03	bortezomib
Cells_Texture_Entropy_ER_20_01	bortezomib
Cells_Texture_InfoMeas1_AGP_10_00	bortezomib
Cells_Texture_InfoMeas1_AGP_10_01	bortezomib
Cells_Texture_InfoMeas1_AGP_20_00	bortezomib
Cells_Texture_InfoMeas1_AGP_5_00	bortezomib
Cells_Texture_InfoMeas1_AGP_5_03	bortezomib
Cells_Texture_InfoMeas1_DNA_10_00	bortezomib
Cells_Texture_InfoMeas1_DNA_10_01	bortezomib
Cells_Texture_InfoMeas1_DNA_10_02	bortezomib
Cells_Texture_InfoMeas1_DNA_20_00	bortezomib
Cells_Texture_InfoMeas1_DNA_20_03	bortezomib
Cells_Texture_InfoMeas1_DNA_5_02	bortezomib
Cells_Texture_InfoMeas1_DNA_5_03	bortezomib
Cells_Texture_InfoMeas1_ER_10_00	bortezomib
Cells_Texture_InfoMeas1_ER_10_01	bortezomib
Cells_Texture_InfoMeas1_ER_20_00	bortezomib
Cells_Texture_InfoMeas1_ER_5_00	bortezomib
Cells_Texture_InfoMeas1_ER_5_01	bortezomib
Cells_Texture_InfoMeas1_Mito_10_01	bortezomib
Cells_Texture_InfoMeas1_Mito_5_02	bortezomib
Cells_Texture_InfoMeas1_RNA_10_00	bortezomib
Cells_Texture_InfoMeas1_RNA_10_01	bortezomib
Cells_Texture_InfoMeas1_RNA_20_02	bortezomib
Cells_Texture_InfoMeas1_RNA_5_02	bortezomib
Cells_Texture_InfoMeas1_RNA_5_03	bortezomib
Cells_Texture_InfoMeas2_AGP_5_02	bortezomib
Cells_Texture_InfoMeas2_DNA_10_03	bortezomib
Cells_Texture_InfoMeas2_DNA_5_02	bortezomib
Cells_Texture_InfoMeas2_ER_5_02	bortezomib
Cells_Texture_InfoMeas2_Mito_5_02	bortezomib
Cells_Texture_InfoMeas2_RNA_5_02	bortezomib
Cells_Texture_InverseDifferenceMoment_DNA_20_03	bortezomib
Cells_Texture_SumAverage_DNA_20_01	bortezomib
Cytoplasm_AreaShape_Area	bortezomib
Cytoplasm_AreaShape_Compactness	bortezomib
Cytoplasm_AreaShape_Eccentricity	bortezomib
Cytoplasm_AreaShape_MedianRadius	bortezomib
Cytoplasm_AreaShape_MinorAxisLength	bortezomib
Cytoplasm_AreaShape_Orientation	bortezomib
Cytoplasm_AreaShape_Perimeter	bortezomib
Cytoplasm_AreaShape_Zernike_0_0	bortezomib
Cytoplasm_AreaShape_Zernike_1_1	bortezomib
Cytoplasm_AreaShape_Zernike_2_0	bortezomib
Cytoplasm_AreaShape_Zernike_2_2	bortezomib
